record_id,month,year,AverageTemperature,AverageTemperatureUncertainty,City,country_id,Country,Latitude,Longitude
474534,03,1866,18.981999999999996,2.8110000000000017,Auckland,NEW,New Zealand,36.17S,175.03E
474535,04,1866,16.433,1.0959999999999996,Auckland,NEW,New Zealand,36.17S,175.03E
474536,05,1866,14.34,2.0320000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474537,06,1866,12.056999999999997,0.7419999999999997,Auckland,NEW,New Zealand,36.17S,175.03E
474538,07,1866,12.537999999999998,1.9959999999999982,Auckland,NEW,New Zealand,36.17S,175.03E
474539,08,1866,12.603000000000002,1.9290000000000005,Auckland,NEW,New Zealand,36.17S,175.03E
474540,09,1866,13.763000000000002,1.5859999999999985,Auckland,NEW,New Zealand,36.17S,175.03E
474541,10,1866,15.183,1.9860000000000018,Auckland,NEW,New Zealand,36.17S,175.03E
474542,11,1866,17.394,2.544,Auckland,NEW,New Zealand,36.17S,175.03E
474543,12,1866,18.995,1.0920000000000012,Auckland,NEW,New Zealand,36.17S,175.03E
474544,01,1867,20.283,1.029000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474545,02,1867,19.440000000000005,0.9580000000000015,Auckland,NEW,New Zealand,36.17S,175.03E
474546,03,1867,18.060999999999996,1.2210000000000005,Auckland,NEW,New Zealand,36.17S,175.03E
474547,04,1867,17.111,1.2049999999999983,Auckland,NEW,New Zealand,36.17S,175.03E
474548,05,1867,14.163000000000002,0.6269999999999993,Auckland,NEW,New Zealand,36.17S,175.03E
474549,06,1867,11.636999999999997,0.6639999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474550,07,1867,12.606000000000002,0.9589999999999992,Auckland,NEW,New Zealand,36.17S,175.03E
474551,08,1867,11.573,1.0870000000000009,Auckland,NEW,New Zealand,36.17S,175.03E
474552,09,1867,13.099000000000002,0.7419999999999997,Auckland,NEW,New Zealand,36.17S,175.03E
474553,10,1867,14.005000000000003,0.6280000000000009,Auckland,NEW,New Zealand,36.17S,175.03E
474554,11,1867,14.073,2.766,Auckland,NEW,New Zealand,36.17S,175.03E
474555,12,1867,17.244999999999997,1.5989999999999998,Auckland,NEW,New Zealand,36.17S,175.03E
474556,01,1868,17.616,0.8480000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474557,02,1868,17.207,1.9399999999999986,Auckland,NEW,New Zealand,36.17S,175.03E
474558,03,1868,17.397,1.3129999999999993,Auckland,NEW,New Zealand,36.17S,175.03E
474559,04,1868,15.709000000000003,2.2189999999999994,Auckland,NEW,New Zealand,36.17S,175.03E
474560,05,1868,13.833,1.377,Auckland,NEW,New Zealand,36.17S,175.03E
474561,06,1868,12.225000000000001,0.989999999999998,Auckland,NEW,New Zealand,36.17S,175.03E
474562,07,1868,11.998999999999999,1.1709999999999985,Auckland,NEW,New Zealand,36.17S,175.03E
474563,08,1868,11.139999999999999,0.8330000000000007,Auckland,NEW,New Zealand,36.17S,175.03E
474564,09,1868,12.056000000000001,0.7509999999999984,Auckland,NEW,New Zealand,36.17S,175.03E
474565,10,1868,12.951,0.8700000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474566,11,1868,14.728,1.1720000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474567,12,1868,15.992999999999999,1.206,Auckland,NEW,New Zealand,36.17S,175.03E
474568,01,1869,18.208000000000002,2.403000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474569,02,1869,18.392999999999997,2.425999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474570,03,1869,17.369000000000003,1.0190000000000015,Auckland,NEW,New Zealand,36.17S,175.03E
474571,04,1869,16.177999999999997,1.5029999999999986,Auckland,NEW,New Zealand,36.17S,175.03E
474572,05,1869,13.699999999999998,0.8709999999999991,Auckland,NEW,New Zealand,36.17S,175.03E
474573,06,1869,12.683,1.0750000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474574,07,1869,10.805,0.7189999999999981,Auckland,NEW,New Zealand,36.17S,175.03E
474575,08,1869,11.617999999999999,0.7629999999999981,Auckland,NEW,New Zealand,36.17S,175.03E
474576,09,1869,12.142999999999999,0.6210000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474577,10,1869,13.326999999999998,0.9890000000000003,Auckland,NEW,New Zealand,36.17S,175.03E
474578,11,1869,15.240999999999998,0.581,Auckland,NEW,New Zealand,36.17S,175.03E
474579,12,1869,17.217,1.6750000000000003,Auckland,NEW,New Zealand,36.17S,175.03E
474580,01,1870,18.539,0.9670000000000003,Auckland,NEW,New Zealand,36.17S,175.03E
474581,02,1870,18.843,1.3299999999999992,Auckland,NEW,New Zealand,36.17S,175.03E
474582,03,1870,17.990000000000002,1.0820000000000007,Auckland,NEW,New Zealand,36.17S,175.03E
474583,04,1870,15.572000000000003,1.136999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474584,05,1870,14.332999999999998,1.0999999999999983,Auckland,NEW,New Zealand,36.17S,175.03E
474585,06,1870,13.443000000000001,1.102999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474586,07,1870,11.837000000000002,0.8020000000000019,Auckland,NEW,New Zealand,36.17S,175.03E
474587,08,1870,11.613,0.6149999999999997,Auckland,NEW,New Zealand,36.17S,175.03E
474588,09,1870,12.286999999999999,0.9090000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
